pulled,window_start,window_end,iso3,country,users,views
2026-08-09,20220529,20260808,SRB,Serbia,2,4
2026-08-09,20220529,20260808,UGA,Uganda,2,17
2026-08-09,20220529,20260808,BGR,Bulgaria,1,1
2026-08-09,20220529,20260808,BLZ,Belize,1,1
2026-08-09,20220529,20260808,CIV,Côte d'Ivoire,1,2
2026-08-09,20220529,20260808,CMR,Cameroon,1,4
2026-08-09,20220529,20260808,FSM,"Micronesia, Federated States of",1,1
2026-08-09,20220529,20260808,GEO,Georgia,1,1
2026-08-09,20220529,20260808,HND,Honduras,1,1
2026-08-09,20220529,20260808,LIE,Liechtenstein,1,1
2026-08-09,20220529,20260808,LVA,Latvia,1,1
2026-08-09,20220529,20260808,MDA,"Moldova, Republic of",1,3
2026-08-09,20220529,20260808,MLT,Malta,1,2
2026-08-09,20220529,20260808,MOZ,Mozambique,1,4
2026-08-09,20220529,20260808,NCL,New Caledonia,1,1
2026-08-09,20220529,20260808,PAN,Panama,1,1
2026-08-09,20220529,20260808,PYF,French Polynesia,1,7
2026-08-09,20220529,20260808,PSE,"Palestine, State of",1,2
2026-08-09,20220529,20260808,PRY,Paraguay,1,1
2026-08-09,20220529,20260808,TZA,"Tanzania, United Republic of",1,1
2026-08-09,20220529,20260808,WSM,Samoa,1,1
2026-08-09,20220529,20260808,MYT,Mayotte,1,4
2026-08-09,20220529,20260808,CHN,China,8962,19609
2026-08-09,20220529,20260808,USA,United States,7920,42866
2026-08-09,20220529,20260808,SGP,Singapore,1978,3293
2026-08-09,20220529,20260808,JPN,Japan,900,4652
2026-08-09,20220529,20260808,HKG,Hong Kong,548,2946
2026-08-09,20220529,20260808,TWN,"Taiwan, Province of China",456,2259
2026-08-09,20220529,20260808,DEU,Germany,378,1401
2026-08-09,20220529,20260808,IND,India,365,2151
2026-08-09,20220529,20260808,ITA,Italy,337,1821
2026-08-09,20220529,20260808,CAN,Canada,326,1575
2026-08-09,20220529,20260808,FRA,France,314,1396
2026-08-09,20220529,20260808,IDN,Indonesia,293,5208
2026-08-09,20220529,20260808,GBR,United Kingdom,285,1122
2026-08-09,20220529,20260808,KOR,"Korea, Republic of",210,1564
2026-08-09,20220529,20260808,AUS,Australia,178,775
2026-08-09,20220529,20260808,TUR,Türkiye,157,674
2026-08-09,20220529,20260808,ESP,Spain,122,519
2026-08-09,20220529,20260808,CHE,Switzerland,114,501
2026-08-09,20220529,20260808,NLD,Netherlands,106,361
2026-08-09,20220529,20260808,MEX,Mexico,95,445
2026-08-09,20220529,20260808,NZL,New Zealand,89,447
2026-08-09,20220529,20260808,GRC,Greece,64,357
2026-08-09,20220529,20260808,SAU,Saudi Arabia,61,260
2026-08-09,20220529,20260808,ISR,Israel,57,325
2026-08-09,20220529,20260808,CHL,Chile,53,236
2026-08-09,20220529,20260808,BRA,Brazil,52,201
2026-08-09,20220529,20260808,BGD,Bangladesh,51,135
2026-08-09,20220529,20260808,RUS,Russian Federation,50,147
2026-08-09,20220529,20260808,SWE,Sweden,47,98
2026-08-09,20220529,20260808,IRN,"Iran, Islamic Republic of",45,215
2026-08-09,20220529,20260808,VNM,Viet Nam,44,129
2026-08-09,20220529,20260808,COL,Colombia,41,176
2026-08-09,20220529,20260808,MYS,Malaysia,41,161
2026-08-09,20220529,20260808,PHL,Philippines,41,118
2026-08-09,20220529,20260808,PER,Peru,38,143
2026-08-09,20220529,20260808,PAK,Pakistan,37,50
2026-08-09,20220529,20260808,NOR,Norway,36,188
2026-08-09,20220529,20260808,ISL,Iceland,33,218
2026-08-09,20220529,20260808,AUT,Austria,30,84
2026-08-09,20220529,20260808,IRL,Ireland,29,40
2026-08-09,20220529,20260808,POL,Poland,27,94
2026-08-09,20220529,20260808,NGA,Nigeria,25,96
2026-08-09,20220529,20260808,HRV,Croatia,22,394
2026-08-09,20220529,20260808,THA,Thailand,22,162
2026-08-09,20220529,20260808,CZE,Czechia,21,63
2026-08-09,20220529,20260808,EGY,Egypt,21,62
2026-08-09,20220529,20260808,MNG,Mongolia,21,215
2026-08-09,20220529,20260808,ZAF,South Africa,21,99
2026-08-09,20220529,20260808,BEL,Belgium,20,59
2026-08-09,20220529,20260808,NPL,Nepal,20,58
2026-08-09,20220529,20260808,PRT,Portugal,19,71
2026-08-09,20220529,20260808,DNK,Denmark,14,38
2026-08-09,20220529,20260808,ROU,Romania,14,27
2026-08-09,20220529,20260808,FIN,Finland,13,26
2026-08-09,20220529,20260808,MAR,Morocco,11,19
2026-08-09,20220529,20260808,TUN,Tunisia,10,28
2026-08-09,20220529,20260808,IRQ,Iraq,9,45
2026-08-09,20220529,20260808,MAC,Macao,9,82
2026-08-09,20220529,20260808,ALB,Albania,8,135
2026-08-09,20220529,20260808,CRI,Costa Rica,8,32
2026-08-09,20220529,20260808,ARG,Argentina,7,9
2026-08-09,20220529,20260808,ECU,Ecuador,7,15
2026-08-09,20220529,20260808,MHL,Marshall Islands,7,7
2026-08-09,20220529,20260808,SLV,El Salvador,7,20
2026-08-09,20220529,20260808,BOL,"Bolivia, Plurinational State of",6,31
2026-08-09,20220529,20260808,DZA,Algeria,6,29
2026-08-09,20220529,20260808,KAZ,Kazakhstan,6,84
2026-08-09,20220529,20260808,PRI,Puerto Rico,6,25
2026-08-09,20220529,20260808,ARE,United Arab Emirates,5,13
2026-08-09,20220529,20260808,CYP,Cyprus,5,5
2026-08-09,20220529,20260808,SVN,Slovenia,5,8
2026-08-09,20220529,20260808,UKR,Ukraine,5,8
2026-08-09,20220529,20260808,UZB,Uzbekistan,5,15
2026-08-09,20220529,20260808,ARM,Armenia,4,10
2026-08-09,20220529,20260808,COD,"Congo, The Democratic Republic of the",4,10
2026-08-09,20220529,20260808,JOR,Jordan,4,6
2026-08-09,20220529,20260808,LBN,Lebanon,4,11
2026-08-09,20220529,20260808,SYC,Seychelles,4,4
2026-08-09,20220529,20260808,TTO,Trinidad and Tobago,4,17
2026-08-09,20220529,20260808,BIH,Bosnia and Herzegovina,3,13
2026-08-09,20220529,20260808,GHA,Ghana,3,13
2026-08-09,20220529,20260808,HUN,Hungary,3,5
2026-08-09,20220529,20260808,KEN,Kenya,3,5
2026-08-09,20220529,20260808,LTU,Lithuania,3,3
2026-08-09,20220529,20260808,LUX,Luxembourg,3,9
2026-08-09,20220529,20260808,MDG,Madagascar,3,14
2026-08-09,20220529,20260808,MKD,North Macedonia,3,14
2026-08-09,20220529,20260808,MMR,Myanmar,3,16
2026-08-09,20220529,20260808,QAT,Qatar,3,19
2026-08-09,20220529,20260808,SVK,Slovakia,3,6
2026-08-09,20220529,20260808,URY,Uruguay,3,4
2026-08-09,20220529,20260808,VEN,"Venezuela, Bolivarian Republic of",3,3
2026-08-09,20220529,20260808,AZE,Azerbaijan,2,3
2026-08-09,20220529,20260808,BLR,Belarus,2,2
2026-08-09,20220529,20260808,DOM,Dominican Republic,2,4
2026-08-09,20220529,20260808,EST,Estonia,2,6
2026-08-09,20220529,20260808,ETH,Ethiopia,2,2
2026-08-09,20220529,20260808,KGZ,Kyrgyzstan,2,6
2026-08-09,20220529,20260808,KHM,Cambodia,2,7
2026-08-09,20220529,20260808,LKA,Sri Lanka,2,5
2026-08-09,20220529,20260808,LBY,Libya,2,2
2026-08-09,20220529,20260808,REU,Réunion,2,4
2026-08-09,20220529,20260808,SRB,Serbia,2,4
2026-08-09,20220529,20260808,UGA,Uganda,2,17
2026-08-09,20220529,20260808,BGR,Bulgaria,1,1
2026-08-09,20220529,20260808,BLZ,Belize,1,1
2026-08-09,20220529,20260808,CIV,Côte d'Ivoire,1,2
2026-08-09,20220529,20260808,CMR,Cameroon,1,4
2026-08-09,20220529,20260808,FSM,"Micronesia, Federated States of",1,1
2026-08-09,20220529,20260808,GEO,Georgia,1,1
2026-08-09,20220529,20260808,HND,Honduras,1,1
2026-08-09,20220529,20260808,LIE,Liechtenstein,1,1
2026-08-09,20220529,20260808,LVA,Latvia,1,1
2026-08-09,20220529,20260808,MDA,"Moldova, Republic of",1,3
2026-08-09,20220529,20260808,MLT,Malta,1,2
2026-08-09,20220529,20260808,MOZ,Mozambique,1,4
2026-08-09,20220529,20260808,NCL,New Caledonia,1,1
2026-08-09,20220529,20260808,PAN,Panama,1,1
2026-08-09,20220529,20260808,PYF,French Polynesia,1,7
2026-08-09,20220529,20260808,PSE,"Palestine, State of",1,2
2026-08-09,20220529,20260808,PRY,Paraguay,1,1
2026-08-09,20220529,20260808,TZA,"Tanzania, United Republic of",1,1
2026-08-09,20220529,20260808,WSM,Samoa,1,1
2026-08-09,20220529,20260808,MYT,Mayotte,1,4
2026-08-09,20220529,20260808,CHN,China,8962,19609
2026-08-09,20220529,20260808,USA,United States,7920,42866
2026-08-09,20220529,20260808,SGP,Singapore,1978,3293
2026-08-09,20220529,20260808,JPN,Japan,900,4652
2026-08-09,20220529,20260808,HKG,Hong Kong,548,2946
2026-08-09,20220529,20260808,TWN,"Taiwan, Province of China",456,2259
2026-08-09,20220529,20260808,DEU,Germany,378,1401
2026-08-09,20220529,20260808,IND,India,365,2151
2026-08-09,20220529,20260808,ITA,Italy,337,1821
2026-08-09,20220529,20260808,CAN,Canada,326,1575
2026-08-09,20220529,20260808,FRA,France,314,1396
2026-08-09,20220529,20260808,IDN,Indonesia,293,5208
2026-08-09,20220529,20260808,GBR,United Kingdom,285,1122
2026-08-09,20220529,20260808,KOR,"Korea, Republic of",210,1564
2026-08-09,20220529,20260808,AUS,Australia,178,775
2026-08-09,20220529,20260808,TUR,Türkiye,157,674
2026-08-09,20220529,20260808,ESP,Spain,122,519
2026-08-09,20220529,20260808,CHE,Switzerland,114,501
2026-08-09,20220529,20260808,NLD,Netherlands,106,361
2026-08-09,20220529,20260808,MEX,Mexico,95,445
2026-08-09,20220529,20260808,NZL,New Zealand,89,447
2026-08-09,20220529,20260808,GRC,Greece,64,357
2026-08-09,20220529,20260808,SAU,Saudi Arabia,61,260
2026-08-09,20220529,20260808,ISR,Israel,57,325
2026-08-09,20220529,20260808,CHL,Chile,53,236
2026-08-09,20220529,20260808,BRA,Brazil,52,201
2026-08-09,20220529,20260808,BGD,Bangladesh,51,135
2026-08-09,20220529,20260808,RUS,Russian Federation,50,147
2026-08-09,20220529,20260808,SWE,Sweden,47,98
2026-08-09,20220529,20260808,IRN,"Iran, Islamic Republic of",45,215
2026-08-09,20220529,20260808,VNM,Viet Nam,44,129
2026-08-09,20220529,20260808,COL,Colombia,41,176
2026-08-09,20220529,20260808,MYS,Malaysia,41,161
2026-08-09,20220529,20260808,PHL,Philippines,41,118
2026-08-09,20220529,20260808,PER,Peru,38,143
2026-08-09,20220529,20260808,PAK,Pakistan,37,50
2026-08-09,20220529,20260808,NOR,Norway,36,188
2026-08-09,20220529,20260808,ISL,Iceland,33,218
2026-08-09,20220529,20260808,AUT,Austria,30,84
2026-08-09,20220529,20260808,IRL,Ireland,29,40
2026-08-09,20220529,20260808,POL,Poland,27,94
2026-08-09,20220529,20260808,NGA,Nigeria,25,96
2026-08-09,20220529,20260808,HRV,Croatia,22,394
2026-08-09,20220529,20260808,THA,Thailand,22,162
2026-08-09,20220529,20260808,CZE,Czechia,21,63
2026-08-09,20220529,20260808,EGY,Egypt,21,62
2026-08-09,20220529,20260808,MNG,Mongolia,21,215
2026-08-09,20220529,20260808,ZAF,South Africa,21,99
2026-08-09,20220529,20260808,BEL,Belgium,20,59
2026-08-09,20220529,20260808,NPL,Nepal,20,58
2026-08-09,20220529,20260808,PRT,Portugal,19,71
2026-08-09,20220529,20260808,DNK,Denmark,14,38
2026-08-09,20220529,20260808,ROU,Romania,14,27
2026-08-09,20220529,20260808,FIN,Finland,13,26
2026-08-09,20220529,20260808,MAR,Morocco,11,19
2026-08-09,20220529,20260808,TUN,Tunisia,10,28
2026-08-09,20220529,20260808,IRQ,Iraq,9,45
2026-08-09,20220529,20260808,MAC,Macao,9,82
2026-08-09,20220529,20260808,ALB,Albania,8,135
2026-08-09,20220529,20260808,CRI,Costa Rica,8,32
2026-08-09,20220529,20260808,ARG,Argentina,7,9
2026-08-09,20220529,20260808,ECU,Ecuador,7,15
2026-08-09,20220529,20260808,MHL,Marshall Islands,7,7
2026-08-09,20220529,20260808,SLV,El Salvador,7,20
2026-08-09,20220529,20260808,BOL,"Bolivia, Plurinational State of",6,31
2026-08-09,20220529,20260808,DZA,Algeria,6,29
2026-08-09,20220529,20260808,KAZ,Kazakhstan,6,84
2026-08-09,20220529,20260808,PRI,Puerto Rico,6,25
2026-08-09,20220529,20260808,ARE,United Arab Emirates,5,13
2026-08-09,20220529,20260808,CYP,Cyprus,5,5
2026-08-09,20220529,20260808,SVN,Slovenia,5,8
2026-08-09,20220529,20260808,UKR,Ukraine,5,8
2026-08-09,20220529,20260808,UZB,Uzbekistan,5,15
2026-08-09,20220529,20260808,ARM,Armenia,4,10
2026-08-09,20220529,20260808,COD,"Congo, The Democratic Republic of the",4,10
2026-08-09,20220529,20260808,JOR,Jordan,4,6
2026-08-09,20220529,20260808,LBN,Lebanon,4,11
2026-08-09,20220529,20260808,SYC,Seychelles,4,4
2026-08-09,20220529,20260808,TTO,Trinidad and Tobago,4,17
2026-08-09,20220529,20260808,BIH,Bosnia and Herzegovina,3,13
2026-08-09,20220529,20260808,GHA,Ghana,3,13
2026-08-09,20220529,20260808,HUN,Hungary,3,5
2026-08-09,20220529,20260808,KEN,Kenya,3,5
2026-08-09,20220529,20260808,LTU,Lithuania,3,3
2026-08-09,20220529,20260808,LUX,Luxembourg,3,9
2026-08-09,20220529,20260808,MDG,Madagascar,3,14
2026-08-09,20220529,20260808,MKD,North Macedonia,3,14
2026-08-09,20220529,20260808,MMR,Myanmar,3,16
2026-08-09,20220529,20260808,QAT,Qatar,3,19
2026-08-09,20220529,20260808,SVK,Slovakia,3,6
2026-08-09,20220529,20260808,URY,Uruguay,3,4
2026-08-09,20220529,20260808,VEN,"Venezuela, Bolivarian Republic of",3,3
2026-08-09,20220529,20260808,AZE,Azerbaijan,2,3
2026-08-09,20220529,20260808,BLR,Belarus,2,2
2026-08-09,20220529,20260808,DOM,Dominican Republic,2,4
2026-08-09,20220529,20260808,EST,Estonia,2,6
2026-08-09,20220529,20260808,ETH,Ethiopia,2,2
2026-08-09,20220529,20260808,KGZ,Kyrgyzstan,2,6
2026-08-09,20220529,20260808,KHM,Cambodia,2,7
2026-08-09,20220529,20260808,LKA,Sri Lanka,2,5
2026-08-09,20220529,20260808,LBY,Libya,2,2
2026-08-09,20220529,20260808,REU,Réunion,2,4
2026-08-09,20220529,20260808,SRB,Serbia,2,4
2026-08-09,20220529,20260808,UGA,Uganda,2,17
2026-08-09,20220529,20260808,BGR,Bulgaria,1,1
2026-08-09,20220529,20260808,BLZ,Belize,1,1
2026-08-09,20220529,20260808,CIV,Côte d'Ivoire,1,2
2026-08-09,20220529,20260808,CMR,Cameroon,1,4
2026-08-09,20220529,20260808,FSM,"Micronesia, Federated States of",1,1
2026-08-09,20220529,20260808,GEO,Georgia,1,1
2026-08-09,20220529,20260808,HND,Honduras,1,1
2026-08-09,20220529,20260808,LIE,Liechtenstein,1,1
2026-08-09,20220529,20260808,LVA,Latvia,1,1
2026-08-09,20220529,20260808,MDA,"Moldova, Republic of",1,3
2026-08-09,20220529,20260808,MLT,Malta,1,2
2026-08-09,20220529,20260808,MOZ,Mozambique,1,4
2026-08-09,20220529,20260808,NCL,New Caledonia,1,1
2026-08-09,20220529,20260808,PAN,Panama,1,1
2026-08-09,20220529,20260808,PYF,French Polynesia,1,7
2026-08-09,20220529,20260808,PSE,"Palestine, State of",1,2
2026-08-09,20220529,20260808,PRY,Paraguay,1,1
2026-08-09,20220529,20260808,TZA,"Tanzania, United Republic of",1,1
2026-08-09,20220529,20260808,WSM,Samoa,1,1
2026-08-09,20220529,20260808,MYT,Mayotte,1,4
2026-08-09,20220529,20260808,CHN,China,8962,19609
2026-08-09,20220529,20260808,USA,United States,7920,42866
2026-08-09,20220529,20260808,SGP,Singapore,1978,3293
2026-08-09,20220529,20260808,JPN,Japan,900,4652
2026-08-09,20220529,20260808,HKG,Hong Kong,548,2946
2026-08-09,20220529,20260808,TWN,"Taiwan, Province of China",456,2259
2026-08-09,20220529,20260808,DEU,Germany,378,1401
2026-08-09,20220529,20260808,IND,India,365,2151
2026-08-09,20220529,20260808,ITA,Italy,337,1821
2026-08-09,20220529,20260808,CAN,Canada,326,1575
2026-08-09,20220529,20260808,FRA,France,314,1396
2026-08-09,20220529,20260808,IDN,Indonesia,293,5208
2026-08-09,20220529,20260808,GBR,United Kingdom,285,1122
2026-08-09,20220529,20260808,KOR,"Korea, Republic of",210,1564
2026-08-09,20220529,20260808,AUS,Australia,178,775
2026-08-09,20220529,20260808,TUR,Türkiye,157,674
2026-08-09,20220529,20260808,ESP,Spain,122,519
2026-08-09,20220529,20260808,CHE,Switzerland,114,501
2026-08-09,20220529,20260808,NLD,Netherlands,106,361
2026-08-09,20220529,20260808,MEX,Mexico,95,445
2026-08-09,20220529,20260808,NZL,New Zealand,89,447
2026-08-09,20220529,20260808,GRC,Greece,64,357
2026-08-09,20220529,20260808,SAU,Saudi Arabia,61,260
2026-08-09,20220529,20260808,ISR,Israel,57,325
2026-08-09,20220529,20260808,CHL,Chile,53,236
2026-08-09,20220529,20260808,BRA,Brazil,52,201
2026-08-09,20220529,20260808,BGD,Bangladesh,51,135
2026-08-09,20220529,20260808,RUS,Russian Federation,50,147
2026-08-09,20220529,20260808,SWE,Sweden,47,98
2026-08-09,20220529,20260808,IRN,"Iran, Islamic Republic of",45,215
2026-08-09,20220529,20260808,VNM,Viet Nam,44,129
2026-08-09,20220529,20260808,COL,Colombia,41,176
2026-08-09,20220529,20260808,MYS,Malaysia,41,161
2026-08-09,20220529,20260808,PHL,Philippines,41,118
2026-08-09,20220529,20260808,PER,Peru,38,143
2026-08-09,20220529,20260808,PAK,Pakistan,37,50
2026-08-09,20220529,20260808,NOR,Norway,36,188
2026-08-09,20220529,20260808,ISL,Iceland,33,218
2026-08-09,20220529,20260808,AUT,Austria,30,84
2026-08-09,20220529,20260808,IRL,Ireland,29,40
2026-08-09,20220529,20260808,POL,Poland,27,94
2026-08-09,20220529,20260808,NGA,Nigeria,25,96
2026-08-09,20220529,20260808,HRV,Croatia,22,394
2026-08-09,20220529,20260808,THA,Thailand,22,162
2026-08-09,20220529,20260808,CZE,Czechia,21,63
2026-08-09,20220529,20260808,EGY,Egypt,21,62
2026-08-09,20220529,20260808,MNG,Mongolia,21,215
2026-08-09,20220529,20260808,ZAF,South Africa,21,99
2026-08-09,20220529,20260808,BEL,Belgium,20,59
2026-08-09,20220529,20260808,NPL,Nepal,20,58
2026-08-09,20220529,20260808,PRT,Portugal,19,71
2026-08-09,20220529,20260808,DNK,Denmark,14,38
2026-08-09,20220529,20260808,ROU,Romania,14,27
2026-08-09,20220529,20260808,FIN,Finland,13,26
2026-08-09,20220529,20260808,MAR,Morocco,11,19
2026-08-09,20220529,20260808,TUN,Tunisia,10,28
2026-08-09,20220529,20260808,IRQ,Iraq,9,45
2026-08-09,20220529,20260808,MAC,Macao,9,82
2026-08-09,20220529,20260808,ALB,Albania,8,135
2026-08-09,20220529,20260808,CRI,Costa Rica,8,32
2026-08-09,20220529,20260808,ARG,Argentina,7,9
2026-08-09,20220529,20260808,ECU,Ecuador,7,15
2026-08-09,20220529,20260808,MHL,Marshall Islands,7,7
2026-08-09,20220529,20260808,SLV,El Salvador,7,20
2026-08-09,20220529,20260808,BOL,"Bolivia, Plurinational State of",6,31
2026-08-09,20220529,20260808,DZA,Algeria,6,29
2026-08-09,20220529,20260808,KAZ,Kazakhstan,6,84
2026-08-09,20220529,20260808,PRI,Puerto Rico,6,25
2026-08-09,20220529,20260808,ARE,United Arab Emirates,5,13
2026-08-09,20220529,20260808,CYP,Cyprus,5,5
2026-08-09,20220529,20260808,SVN,Slovenia,5,8
2026-08-09,20220529,20260808,UKR,Ukraine,5,8
2026-08-09,20220529,20260808,UZB,Uzbekistan,5,15
2026-08-09,20220529,20260808,ARM,Armenia,4,10
2026-08-09,20220529,20260808,COD,"Congo, The Democratic Republic of the",4,10
2026-08-09,20220529,20260808,JOR,Jordan,4,6
2026-08-09,20220529,20260808,LBN,Lebanon,4,11
2026-08-09,20220529,20260808,SYC,Seychelles,4,4
2026-08-09,20220529,20260808,TTO,Trinidad and Tobago,4,17
2026-08-09,20220529,20260808,BIH,Bosnia and Herzegovina,3,13
2026-08-09,20220529,20260808,GHA,Ghana,3,13
2026-08-09,20220529,20260808,HUN,Hungary,3,5
2026-08-09,20220529,20260808,KEN,Kenya,3,5
2026-08-09,20220529,20260808,LTU,Lithuania,3,3
2026-08-09,20220529,20260808,LUX,Luxembourg,3,9
2026-08-09,20220529,20260808,MDG,Madagascar,3,14
2026-08-09,20220529,20260808,MKD,North Macedonia,3,14
2026-08-09,20220529,20260808,MMR,Myanmar,3,16
2026-08-09,20220529,20260808,QAT,Qatar,3,19
2026-08-09,20220529,20260808,SVK,Slovakia,3,6
2026-08-09,20220529,20260808,URY,Uruguay,3,4
2026-08-09,20220529,20260808,VEN,"Venezuela, Bolivarian Republic of",3,3
2026-08-09,20220529,20260808,AZE,Azerbaijan,2,3
2026-08-09,20220529,20260808,BLR,Belarus,2,2
2026-08-09,20220529,20260808,DOM,Dominican Republic,2,4
2026-08-09,20220529,20260808,EST,Estonia,2,6
2026-08-09,20220529,20260808,ETH,Ethiopia,2,2
2026-08-09,20220529,20260808,KGZ,Kyrgyzstan,2,6
2026-08-09,20220529,20260808,KHM,Cambodia,2,7
2026-08-09,20220529,20260808,LKA,Sri Lanka,2,5
2026-08-09,20220529,20260808,LBY,Libya,2,2
2026-08-09,20220529,20260808,REU,Réunion,2,4
2026-08-09,20220529,20260808,SRB,Serbia,2,4
2026-08-09,20220529,20260808,UGA,Uganda,2,17
2026-08-09,20220529,20260808,BGR,Bulgaria,1,1
2026-08-09,20220529,20260808,BLZ,Belize,1,1
2026-08-09,20220529,20260808,CIV,Côte d'Ivoire,1,2
2026-08-09,20220529,20260808,CMR,Cameroon,1,4
2026-08-09,20220529,20260808,FSM,"Micronesia, Federated States of",1,1
2026-08-09,20220529,20260808,GEO,Georgia,1,1
2026-08-09,20220529,20260808,HND,Honduras,1,1
2026-08-09,20220529,20260808,LIE,Liechtenstein,1,1
2026-08-09,20220529,20260808,LVA,Latvia,1,1
2026-08-09,20220529,20260808,MDA,"Moldova, Republic of",1,3
2026-08-09,20220529,20260808,MLT,Malta,1,2
2026-08-09,20220529,20260808,MOZ,Mozambique,1,4
2026-08-09,20220529,20260808,NCL,New Caledonia,1,1
2026-08-09,20220529,20260808,PAN,Panama,1,1
2026-08-09,20220529,20260808,PYF,French Polynesia,1,7
2026-08-09,20220529,20260808,PSE,"Palestine, State of",1,2
2026-08-09,20220529,20260808,PRY,Paraguay,1,1
2026-08-09,20220529,20260808,TZA,"Tanzania, United Republic of",1,1
2026-08-09,20220529,20260808,WSM,Samoa,1,1
2026-08-09,20220529,20260808,MYT,Mayotte,1,4
2026-08-09,20220529,20260808,CHN,China,8962,19609
2026-08-09,20220529,20260808,USA,United States,7920,42866
2026-08-09,20220529,20260808,SGP,Singapore,1978,3293
2026-08-09,20220529,20260808,JPN,Japan,900,4652
2026-08-09,20220529,20260808,HKG,Hong Kong,548,2946
2026-08-09,20220529,20260808,TWN,"Taiwan, Province of China",456,2259
2026-08-09,20220529,20260808,DEU,Germany,378,1401
2026-08-09,20220529,20260808,IND,India,365,2151
2026-08-09,20220529,20260808,ITA,Italy,337,1821
2026-08-09,20220529,20260808,CAN,Canada,326,1575
2026-08-09,20220529,20260808,FRA,France,314,1396
2026-08-09,20220529,20260808,IDN,Indonesia,293,5208
2026-08-09,20220529,20260808,GBR,United Kingdom,285,1122
2026-08-09,20220529,20260808,KOR,"Korea, Republic of",210,1564
2026-08-09,20220529,20260808,AUS,Australia,178,775
2026-08-09,20220529,20260808,TUR,Türkiye,157,674
2026-08-09,20220529,20260808,ESP,Spain,122,519
2026-08-09,20220529,20260808,CHE,Switzerland,114,501
2026-08-09,20220529,20260808,NLD,Netherlands,106,361
2026-08-09,20220529,20260808,MEX,Mexico,95,445
2026-08-09,20220529,20260808,NZL,New Zealand,89,447
2026-08-09,20220529,20260808,GRC,Greece,64,357
2026-08-09,20220529,20260808,SAU,Saudi Arabia,61,260
2026-08-09,20220529,20260808,ISR,Israel,57,325
2026-08-09,20220529,20260808,CHL,Chile,53,236
2026-08-09,20220529,20260808,BRA,Brazil,52,201
2026-08-09,20220529,20260808,BGD,Bangladesh,51,135
2026-08-09,20220529,20260808,RUS,Russian Federation,50,147
2026-08-09,20220529,20260808,SWE,Sweden,47,98
2026-08-09,20220529,20260808,IRN,"Iran, Islamic Republic of",45,215
2026-08-09,20220529,20260808,VNM,Viet Nam,44,129
2026-08-09,20220529,20260808,COL,Colombia,41,176
2026-08-09,20220529,20260808,MYS,Malaysia,41,161
2026-08-09,20220529,20260808,PHL,Philippines,41,118
2026-08-09,20220529,20260808,PER,Peru,38,143
2026-08-09,20220529,20260808,PAK,Pakistan,37,50
2026-08-09,20220529,20260808,NOR,Norway,36,188
2026-08-09,20220529,20260808,ISL,Iceland,33,218
2026-08-09,20220529,20260808,AUT,Austria,30,84
2026-08-09,20220529,20260808,IRL,Ireland,29,40
2026-08-09,20220529,20260808,POL,Poland,27,94
2026-08-09,20220529,20260808,NGA,Nigeria,25,96
2026-08-09,20220529,20260808,HRV,Croatia,22,394
2026-08-09,20220529,20260808,THA,Thailand,22,162
2026-08-09,20220529,20260808,CZE,Czechia,21,63
2026-08-09,20220529,20260808,EGY,Egypt,21,62
2026-08-09,20220529,20260808,MNG,Mongolia,21,215
2026-08-09,20220529,20260808,ZAF,South Africa,21,99
2026-08-09,20220529,20260808,BEL,Belgium,20,59
2026-08-09,20220529,20260808,NPL,Nepal,20,58
2026-08-09,20220529,20260808,PRT,Portugal,19,71
2026-08-09,20220529,20260808,DNK,Denmark,14,38
2026-08-09,20220529,20260808,ROU,Romania,14,27
2026-08-09,20220529,20260808,FIN,Finland,13,26
2026-08-09,20220529,20260808,MAR,Morocco,11,19
2026-08-09,20220529,20260808,TUN,Tunisia,10,28
2026-08-09,20220529,20260808,IRQ,Iraq,9,45
2026-08-09,20220529,20260808,MAC,Macao,9,82
2026-08-09,20220529,20260808,ALB,Albania,8,135
2026-08-09,20220529,20260808,CRI,Costa Rica,8,32
2026-08-09,20220529,20260808,ARG,Argentina,7,9
2026-08-09,20220529,20260808,ECU,Ecuador,7,15
2026-08-09,20220529,20260808,MHL,Marshall Islands,7,7
2026-08-09,20220529,20260808,SLV,El Salvador,7,20
2026-08-09,20220529,20260808,BOL,"Bolivia, Plurinational State of",6,31
2026-08-09,20220529,20260808,DZA,Algeria,6,29
2026-08-09,20220529,20260808,KAZ,Kazakhstan,6,84
2026-08-09,20220529,20260808,PRI,Puerto Rico,6,25
2026-08-09,20220529,20260808,ARE,United Arab Emirates,5,13
2026-08-09,20220529,20260808,CYP,Cyprus,5,5
2026-08-09,20220529,20260808,SVN,Slovenia,5,8
2026-08-09,20220529,20260808,UKR,Ukraine,5,8
2026-08-09,20220529,20260808,UZB,Uzbekistan,5,15
2026-08-09,20220529,20260808,ARM,Armenia,4,10
2026-08-09,20220529,20260808,COD,"Congo, The Democratic Republic of the",4,10
2026-08-09,20220529,20260808,JOR,Jordan,4,6
2026-08-09,20220529,20260808,LBN,Lebanon,4,11
2026-08-09,20220529,20260808,SYC,Seychelles,4,4
2026-08-09,20220529,20260808,TTO,Trinidad and Tobago,4,17
2026-08-09,20220529,20260808,BIH,Bosnia and Herzegovina,3,13
2026-08-09,20220529,20260808,GHA,Ghana,3,13
2026-08-09,20220529,20260808,HUN,Hungary,3,5
